"2019-12-11 02:11:06 [main] INFO  c.e.todolist.TodolistApplication - Starting TodolistApplication on DESKTOP-BQ4L55I with PID 10908 (C:\Users\HP\Desktop\todolist\target\classes started by HP in C:\Users\HP\Desktop\todolist)
""2019-12-11 02:19:15 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2019-12-11 02:19:15 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-12-11 02:19:15 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
""2019-12-11 02:19:15 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2019-12-11 02:19:15 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2019-12-11 02:19:15 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2019-12-11 02:19:15 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
""2019-12-11 02:19:16 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
""2019-12-11 02:19:16 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.4.8.Final}
""2019-12-11 02:19:16 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
""2019-12-11 02:19:16 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
""2019-12-11 02:19:17 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2019-12-11 02:19:17 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2019-12-11 02:19:19 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5cffec7, org.springframework.security.web.context.SecurityContextPersistenceFilter@49d42faf, org.springframework.security.web.header.HeaderWriterFilter@6dece1f9, org.springframework.security.web.authentication.logout.LogoutFilter@25fd6d1e, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@51132514, org.springframework.security.web.session.ConcurrentSessionFilter@1214d23c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@502c2278, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5c573229, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7e81617a, org.springframework.security.web.session.SessionManagementFilter@32b112a1, org.springframework.security.web.access.ExceptionTranslationFilter@2707c790, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4be12f6c]
""2019-12-11 02:19:19 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2019-12-11 02:19:19 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2019-12-11 02:19:19 [main] INFO  c.e.todolist.TodolistApplication - Started TodolistApplication in 8.446 seconds (JVM running for 9.12)
""2019-12-11 02:19:27 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
"
